"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
"idlimit",30,50,312.80517578125,312.80517578125,312.80517578125,312.80517578125
60
"skiplimit",30,60,309.5467885335286,309.5467885335286,309.5467885335286,309.5467885335286
"idlimit",30,60,319.8782602945964,319.8782602945964,319.8782602945964,319.8782602945964
70
"skiplimit",30,70,315.58672587076825,315.58672587076825,315.58672587076825,315.58672587076825
"idlimit",30,70,312.48728434244794,312.48728434244794,312.48728434244794,312.48728434244794
80
"skiplimit",30,80,313.2025400797526,313.2025400797526,313.2025400797526,313.2025400797526
"idlimit",30,80,311.6925557454427,311.6925557454427,311.6925557454427,311.6925557454427
90
"skiplimit",30,90,311.21571858723956,311.21571858723956,311.21571858723956,311.21571858723956
"idlimit",30,90,316.77881876627606,316.77881876627606,316.77881876627606,316.77881876627606
100
"skiplimit",30,100,312.96412150065106,312.96412150065106,312.96412150065106,312.96412150065106
"idlimit",30,100,317.1761830647786,317.1761830647786,317.1761830647786,317.1761830647786
35
10
"skiplimit",35,10,286.40031814575195,283.0028533935547,283.0028533935547,273.78400166829425
"idlimit",35,10,290.95013936360675,299.69215393066406,299.69215393066406,281.1749776204427
20
"skiplimit",35,20,293.6522165934245,287.69175211588544,287.69175211588544,287.69175211588544
"idlimit",35,20,309.98388926188153,299.374262491862,299.374262491862,299.374262491862
30
"skiplimit",35,30,306.6062927246094,298.9768981933594,298.9768981933594,298.9768981933594
"idlimit",35,30,308.15601348876953,302.8710683186849,302.8710683186849,302.8710683186849
40
"skiplimit",35,40,319.9577331542969,319.9577331542969,319.9577331542969,319.9577331542969
"idlimit",35,40,321.8650817871094,321.8650817871094,321.8650817871094,321.8650817871094
50
"skiplimit",35,50,319.8782602945964,319.8782602945964,319.8782602945964,319.8782602945964
"idlimit",35,50,322.8982289632161,322.8982289632161,322.8982289632161,322.8982289632161
60
"skiplimit",35,60,337.521235148112,337.521235148112,337.521235148112,337.521235148112
"idlimit",35,60,340.7001495361328,340.7001495361328,340.7001495361328,340.7001495361328
70
"skiplimit",35,70,320.4345703125,320.4345703125,320.4345703125,320.4345703125
"idlimit",35,70,317.8119659423828,317.8119659423828,317.8119659423828,317.8119659423828
80
